time,x,y,heading_deg,steer_deg,xte,target_idx
5.85,8.558,0.007,-0.10,-0.02,0.031,24
5.95,8.721,0.024,-0.10,-0.31,0.135,25
6.05,8.893,-0.021,-0.12,0.59,0.201,25
6.15,8.982,-0.000,-0.08,0.12,0.111,25
6.26,9.146,-0.015,-0.08,0.36,0.055,26
6.36,9.297,0.021,-0.05,-0.33,0.205,26
6.46,9.459,0.004,-0.07,0.01,0.139,26
6.57,9.574,0.013,-0.07,-0.18,0.027,26
6.67,9.739,0.001,-0.08,0.08,0.141,27
6.77,9.895,0.021,-0.08,-0.32,0.210,27
6.88,10.060,0.036,-0.10,-0.68,0.057,27
6.98,10.170,-0.008,-0.14,0.32,0.067,28
7.08,10.344,-0.007,-0.12,0.30,0.241,28
7.19,10.535,-0.022,-0.10,0.62,0.076,28
7.29,10.617,0.001,-0.06,0.07,0.008,28
7.39,10.773,-0.010,-0.06,0.26,0.165,29
7.50,10.937,0.003,-0.04,-0.00,0.177,29
7.60,11.110,-0.007,-0.04,0.22,0.008,29
7.70,11.263,-0.043,-0.03,0.86,0.156,30
7.80,11.392,0.004,0.02,-0.12,0.227,30
7.90,11.528,-0.008,0.01,0.16,0.091,30
8.01,11.676,-0.049,0.02,0.85,0.075,31
8.11,11.870,0.010,0.07,-0.30,0.251,31
8.21,12.052,0.037,0.06,-0.89,0.081,31
8.31,12.180,0.015,0.00,-0.27,0.058,32
8.42,12.328,-0.015,-0.01,0.30,0.205,32
8.52,12.414,-0.029,0.00,0.58,0.217,32
8.62,12.601,-0.008,0.04,0.13,0.029,32
8.72,12.723,-0.016,0.05,0.23,0.096,33
8.82,12.891,-0.018,0.06,0.28,0.243,33
8.92,13.069,-0.019,0.08,0.32,0.068,33
9.03,13.213,-0.013,0.10,0.12,0.080,34
9.13,13.343,-0.029,0.10,0.44,0.211,34
9.23,13.513,0.018,0.13,-0.56,0.128,34
9.34,13.656,-0.019,0.10,0.30,0.025,34
9.44,13.811,-0.006,0.11,-0.03,0.172,35
9.54,13.907,0.024,0.11,-0.63,0.239,35
9.64,14.108,-0.012,0.08,0.17,0.038,35
9.75,14.226,0.013,0.09,-0.35,0.083,36
9.85,14.386,-0.008,0.06,0.08,0.241,36
9.95,14.561,0.025,0.07,-0.64,0.092,36
10.05,14.690,-0.024,0.03,0.38,0.047,37
10.16,14.826,0.005,0.05,-0.16,0.177,37
10.26,14.965,0.019,0.04,-0.46,0.191,37
10.36,15.150,-0.022,0.02,0.48,0.023,37
10.46,15.309,-0.006,0.05,0.06,0.155,38
10.57,15.431,-0.014,0.05,0.22,0.229,38
10.67,15.573,-0.013,0.06,0.20,0.088,38
10.78,15.757,-0.013,0.07,0.15,0.098,39
10.88,15.935,0.000,0.08,-0.12,0.231,39
10.98,16.052,-0.001,0.08,-0.09,0.113,39
11.08,16.179,0.010,0.07,-0.34,0.018,39
11.18,16.328,0.010,0.05,-0.26,0.163,40
11.29,16.491,0.013,0.04,-0.32,0.180,40
11.39,16.643,-0.024,0.02,0.51,0.036,40
11.50,16.820,0.008,0.05,-0.20,0.150,41
11.60,16.967,-0.004,0.03,0.04,0.208,41
11.70,17.122,-0.016,0.04,0.30,0.056,41
11.81,17.232,-0.019,0.06,0.28,0.060,42
11.91,17.414,-0.003,0.07,-0.04,0.239,42
12.01,17.560,0.024,0.07,-0.62,0.123,42
12.11,17.719,0.012,0.03,-0.26,0.040,43
12.21,17.879,-0.020,0.02,0.37,0.199,43
12.32,17.998,0.016,0.04,-0.38,0.188,43
12.42,18.154,0.017,0.02,-0.40,0.036,43
12.52,18.278,0.022,-0.01,-0.39,0.095,44
12.62,18.447,-0.021,-0.03,0.46,0.245,44
12.72,18.628,-0.006,-0.00,0.14,0.064,44
12.83,18.754,-0.001,0.01,0.02,0.063,45
12.93,18.897,0.002,0.01,-0.05,0.207,45
13.03,19.061,0.046,0.00,-0.98,0.142,45
13.13,19.185,0.003,-0.06,0.01,0.011,45
13.23,19.346,0.011,-0.05,-0.15,0.150,46
13.33,19.491,0.016,-0.06,-0.25,0.211,46
13.44,19.642,-0.006,-0.08,0.23,0.060,46
13.54,19.819,-0.037,-0.06,0.76,0.124,47
13.64,19.972,0.019,-0.02,-0.37,0.236,47
13.75,20.088,0.004,-0.04,-0.04,0.118,47
13.85,20.259,0.003,-0.04,-0.01,0.053,48
13.95,20.388,-0.001,-0.04,0.08,0.181,48
14.06,20.558,-0.018,-0.04,0.44,0.154,48
14.16,20.693,0.018,-0.01,-0.40,0.026,48
14.26,20.840,-0.044,-0.04,0.87,0.135,49
14.36,20.980,-0.015,0.02,0.27,0.237,49
14.47,21.137,-0.032,0.03,0.66,0.086,49
14.57,21.278,-0.008,0.07,0.06,0.062,50
14.67,21.405,0.007,0.08,-0.23,0.189,50
14.77,21.573,0.028,0.06,-0.68,0.152,50
14.87,21.762,-0.016,0.02,0.26,0.043,51
14.97,21.924,0.068,0.04,-1.36,0.213,51
15.08,22.057,0.024,-0.05,-0.43,0.171,51
15.18,22.187,-0.028,-0.07,0.73,0.049,51
15.28,22.343,0.001,-0.03,0.02,0.116,52
15.38,22.515,-0.001,-0.03,0.06,0.217,52
15.49,22.636,0.005,-0.02,-0.07,0.096,52
15.59,22.782,0.009,-0.03,-0.12,0.051,53
15.70,22.948,0.016,-0.03,-0.28,0.216,53
15.80,23.065,-0.036,-0.05,0.82,0.176,53
15.90,23.280,-0.022,-0.00,0.40,0.048,54
16.01,23.379,0.005,0.02,-0.12,0.142,54
16.11,23.555,-0.012,0.01,0.23,0.188,54
16.21,23.683,0.009,0.03,-0.25,0.060,54
16.32,23.848,-0.013,0.01,0.22,0.106,55
16.42,24.003,0.000,0.03,-0.04,0.245,55
16.53,24.172,0.023,0.02,-0.54,0.079,55
16.63,24.323,0.006,-0.01,-0.10,0.075,56
16.73,24.416,0.013,-0.01,-0.24,0.169,56
16.83,24.602,0.011,-0.03,-0.20,0.152,56
16.94,24.760,-0.029,-0.04,0.72,0.030,56
17.04,24.871,-0.002,0.00,0.03,0.118,57
17.14,25.062,0.001,0.00,-0.02,0.196,57
17.24,25.234,-0.003,0.00,0.06,0.024,57
17.34,25.349,-0.029,0.01,0.53,0.096,58
17.44,25.501,-0.015,0.04,0.26,0.243,58
17.54,25.640,0.008,0.05,-0.25,0.124,58
17.65,25.810,-0.018,0.04,0.27,0.050,59
17.75,25.937,0.006,0.06,-0.18,0.174,59
17.85,26.089,0.039,0.04,-0.87,0.184,59
17.95,26.247,0.016,-0.01,-0.34,0.026,59
18.05,26.396,-0.007,-0.03,0.17,0.128,60
18.16,26.600,-0.019,-0.02,0.43,0.174,60
18.26,26.731,-0.031,0.01,0.67,0.052,60
18.36,26.866,-0.018,0.05,0.27,0.094,61
18.47,27.001,0.022,0.06,-0.52,0.228,61
18.57,27.129,-0.012,0.03,0.21,0.151,61
18.67,27.335,-0.002,0.05,-0.02,0.057,62
18.78,27.482,-0.025,0.04,0.44,0.205,62
18.88,27.600,0.002,0.07,-0.14,0.184,62
18.98,27.719,0.020,0.06,-0.53,0.068,62
19.09,27.908,0.012,0.03,-0.27,0.125,63
19.19,28.049,-0.023,0.01,0.44,0.241,63
19.29,28.139,-0.010,0.04,0.15,0.150,63
19.40,28.347,0.004,0.05,-0.13,0.058,64
19.50,28.483,-0.011,0.04,0.16,0.195,64
19.60,28.679,0.009,0.05,-0.26,0.115,64
19.70,28.808,0.009,0.04,-0.27,0.017,64
19.80,28.941,0.015,0.02,-0.31,0.148,65
19.90,29.131,0.004,0.00,-0.09,0.168,65
20.00,29.274,0.001,-0.00,-0.02,0.025,65
20.11,29.388,0.009,-0.00,-0.16,0.089,66
20.21,29.579,0.013,-0.01,-0.24,0.226,66
20.31,29.683,-0.024,-0.03,0.55,0.124,66
20.42,29.870,-0.036,0.00,0.64,0.075,67
20.52,30.000,0.030,0.04,-0.65,0.198,67
20.62,30.152,-0.001,0.00,0.02,0.158,67
20.72,30.273,-0.026,0.00,0.59,0.045,67
20.82,30.438,0.020,0.04,-0.43,0.130,68
20.93,30.596,0.012,0.01,-0.27,0.219,68
21.03,30.769,0.018,-0.00,-0.39,0.049,68
21.13,30.934,0.018,-0.03,-0.30,0.120,69
21.23,31.008,0.007,-0.04,-0.08,0.193,69
21.34,31.196,0.014,-0.05,-0.23,0.125,69
21.44,31.353,0.008,-0.06,-0.10,0.034,69
21.55,31.536,0.013,-0.07,-0.17,0.216,70
21.65,31.651,-0.011,-0.08,0.33,0.174,70
21.75,31.783,-0.018,-0.06,0.48,0.046,70
21.85,31.928,-0.001,-0.03,0.06,0.102,71
21.96,32.095,-0.039,-0.03,0.82,0.239,71
22.06,32.241,0.021,0.02,-0.50,0.092,71
22.16,32.394,0.011,-0.01,-0.19,0.065,72
22.26,32.572,0.013,-0.02,-0.24,0.242,72
22.36,32.708,-0.020,-0.03,0.46,0.129,72
22.47,32.836,0.032,-0.00,-0.74,0.032,72
22.57,32.999,-0.009,-0.05,0.24,0.164,73
22.67,33.139,0.020,-0.03,-0.37,0.203,73
22.77,33.252,0.001,-0.06,0.06,0.089,73
22.88,33.410,0.017,-0.05,-0.24,0.072,74
22.98,33.595,-0.009,-0.07,0.26,0.251,74
23.08,33.769,-0.021,-0.05,0.53,0.079,74
23.19,33.911,-0.021,-0.02,0.41,0.069,75
23.29,34.051,-0.007,0.00,0.14,0.206,75
23.39,34.197,0.009,0.01,-0.22,0.154,75
23.49,34.357,-0.014,0.00,0.32,0.015,75
23.60,34.488,-0.009,0.02,0.14,0.137,76
23.70,34.649,-0.024,0.03,0.45,0.208,76
23.80,34.806,-0.035,0.05,0.70,0.061,76
23.91,34.946,-0.012,0.10,0.09,0.090,77
24.01,35.093,0.029,0.10,-0.72,0.239,77
24.11,35.246,0.012,0.06,-0.35,0.116,77
24.21,35.390,-0.001,0.04,-0.04,0.029,77
24.31,35.555,-0.033,0.04,0.59,0.197,78
24.42,35.697,0.006,0.07,-0.22,0.169,78
24.52,35.839,-0.001,0.06,-0.06,0.028,78
24.62,36.017,-0.019,0.05,0.29,0.152,79
24.73,36.169,0.019,0.07,-0.49,0.204,79
24.83,36.302,-0.010,0.04,0.16,0.070,79
24.93,36.455,0.024,0.05,-0.50,0.086,80
25.04,36.584,0.055,0.02,-1.11,0.220,80
25.14,36.741,0.023,-0.04,-0.44,0.137,80
25.24,36.905,0.046,-0.07,-0.97,0.054,80
25.34,37.060,-0.010,-0.13,0.35,0.183,81
25.45,37.217,-0.022,-0.11,0.60,0.166,81
25.55,37.374,-0.006,-0.07,0.23,0.010,81
25.66,37.466,0.022,-0.06,-0.33,0.087,82
25.76,37.660,-0.008,-0.08,0.27,0.227,82
25.86,37.793,-0.019,-0.06,0.50,0.096,82
25.96,37.971,-0.026,-0.03,0.52,0.088,83
26.06,38.087,0.020,0.00,-0.40,0.201,83
26.16,38.288,-0.000,-0.02,0.04,0.104,83
26.27,38.391,0.010,-0.02,-0.19,0.010,83
26.37,38.528,-0.017,-0.03,0.36,0.137,84
26.47,38.684,0.011,-0.01,-0.20,0.214,84
26.57,38.861,-0.016,-0.02,0.40,0.040,84
26.67,38.998,-0.001,0.00,0.03,0.101,85
26.77,39.145,-0.008,0.00,0.16,0.248,85
26.88,39.302,0.009,0.01,-0.22,0.101,85
26.98,39.459,-0.018,-0.00,0.33,0.059,86
27.08,39.609,-0.005,0.02,0.07,0.206,86
27.18,39.750,-0.005,0.02,0.08,0.158,86
27.28,39.933,0.008,0.03,-0.23,0.026,86
27.39,40.033,-0.014,0.01,0.24,0.126,87
27.49,40.198,-0.013,0.03,0.23,0.215,87
27.60,40.361,0.026,0.04,-0.65,0.058,87
27.70,40.480,-0.005,0.00,0.09,0.067,88
27.81,40.628,0.005,0.01,-0.10,0.215,88
27.91,40.808,0.021,0.00,-0.46,0.112,88
28.01,40.945,-0.002,-0.02,0.09,0.027,88
28.11,41.093,0.029,-0.02,-0.52,0.177,89
28.21,41.256,-0.020,-0.05,0.48,0.168,89
28.31,41.440,-0.017,-0.02,0.43,0.024,89
28.42,41.511,0.002,0.00,-0.04,0.088,90
28.52,41.706,0.008,0.00,-0.17,0.223,90
28.62,41.860,0.002,-0.01,-0.02,0.068,90
28.73,41.997,-0.012,-0.01,0.23,0.069,91
28.83,42.181,-0.011,0.00,0.21,0.252,91
28.93,42.268,0.008,0.02,-0.19,0.166,91
29.04,42.475,0.008,0.01,-0.15,0.042,92
29.14,42.597,0.014,-0.00,-0.27,0.164,92
29.25,42.761,0.017,-0.02,-0.33,0.178,92
29.35,42.916,-0.002,-0.04,0.09,0.023,92
29.45,43.024,-0.022,-0.03,0.44,0.088,93
29.56,43.188,-0.013,-0.01,0.26,0.249,93
29.66,43.342,0.003,0.01,-0.08,0.102,93
29.76,43.518,0.001,0.00,-0.02,0.074,94
29.86,43.654,0.027,0.00,-0.52,0.212,94
29.96,43.830,0.003,-0.03,-0.02,0.120,94
30.06,43.931,0.007,-0.03,-0.13,0.019,94
30.16,44.093,-0.006,-0.04,0.17,0.144,95
30.27,44.246,-0.010,-0.03,0.25,0.208,95
30.37,44.385,-0.015,-0.01,0.35,0.071,95
30.47,44.499,-0.032,0.01,0.56,0.055,96
30.58,44.678,-0.031,0.04,0.56,0.226,96
30.68,44.847,0.050,0.07,-1.17,0.123,96
30.78,45.026,-0.019,0.00,0.34,0.069,97
30.89,45.135,-0.003,0.02,0.02,0.175,97
30.99,45.321,-0.008,0.03,0.14,0.144,97
31.09,45.472,0.036,0.03,-0.88,0.037,97
31.20,45.620,-0.015,-0.02,0.30,0.156,98
31.30,45.768,-0.021,-0.00,0.43,0.203,98
31.41,45.932,0.033,0.03,-0.78,0.051,98
31.51,46.068,0.031,-0.02,-0.55,0.103,99
31.61,46.173,0.013,-0.05,-0.17,0.204,99
31.71,46.380,-0.009,-0.06,0.29,0.095,99
31.82,46.518,0.003,-0.05,-0.00,0.043,100
31.92,46.651,-0.026,-0.05,0.55,0.178,100
32.02,46.802,-0.003,-0.01,0.07,0.178,100
32.13,46.967,0.016,-0.01,-0.35,0.021,100
32.23,47.112,-0.019,-0.03,0.39,0.134,101
32.33,47.275,-0.009,-0.01,0.20,0.211,101
32.43,47.397,0.011,0.00,-0.24,0.088,101
32.53,47.488,-0.013,-0.01,0.31,0.013,101
32.64,47.706,0.035,0.01,-0.71,0.224,102
32.74,47.897,-0.010,-0.03,0.27,0.094,102
32.85,48.034,0.014,-0.02,-0.23,0.046,103
32.95,48.126,-0.000,-0.03,0.05,0.136,103
33.05,48.284,-0.012,-0.03,0.29,0.212,103
33.15,48.443,-0.003,-0.01,0.08,0.052,103
33.25,48.596,0.003,-0.01,-0.05,0.101,104
33.35,48.746,0.009,-0.01,-0.16,0.251,104
33.46,48.915,0.018,-0.02,-0.38,0.088,104
33.56,49.063,-0.019,-0.04,0.39,0.065,105
33.67,49.206,0.019,-0.02,-0.35,0.206,105
33.77,49.352,0.004,-0.04,-0.04,0.153,105
33.87,49.498,0.019,-0.04,-0.37,0.021,105
33.97,49.613,-0.023,-0.06,0.51,0.109,106
34.08,49.800,0.010,-0.03,-0.15,0.211,106
34.18,49.973,0.018,-0.04,-0.35,0.042,106
34.28,50.118,-0.006,-0.06,0.20,0.107,107
34.39,50.235,-0.012,-0.05,0.30,0.224,107
34.49,50.390,0.024,-0.03,-0.47,0.128,107
34.59,50.580,0.014,-0.06,-0.17,0.065,108
34.69,50.728,-0.019,-0.07,0.46,0.213,108
34.80,50.875,-0.010,-0.04,0.27,0.147,108
34.90,50.971,0.022,-0.03,-0.44,0.055,108
35.01,51.131,-0.016,-0.05,0.36,0.111,109
35.11,51.275,-0.035,-0.03,0.75,0.254,109
35.21,51.449,-0.028,0.01,0.60,0.082,109
35.31,51.610,-0.009,0.05,0.11,0.084,110
35.42,51.739,-0.020,0.05,0.33,0.213,110
35.52,51.928,-0.016,0.07,0.25,0.105,110
35.62,52.049,-0.004,0.09,-0.02,0.018,110
35.72,52.206,0.033,0.09,-0.75,0.177,111
35.82,52.345,0.003,0.04,-0.13,0.192,111
35.93,52.494,-0.009,0.03,0.15,0.044,111
36.03,52.660,0.012,0.04,-0.29,0.124,112
36.14,52.781,0.024,0.03,-0.50,0.246,112
36.24,52.961,-0.025,-0.00,0.56,0.085,112
36.34,53.103,0.000,0.03,-0.04,0.061,113
36.45,53.243,-0.006,0.03,0.07,0.201,113
36.55,53.393,-0.011,0.03,0.18,0.154,113
36.65,53.544,0.017,0.04,-0.46,0.018,113
36.75,53.698,-0.011,0.02,0.18,0.151,114
36.85,53.825,-0.014,0.03,0.24,0.228,114
36.96,54.011,0.004,0.04,-0.16,0.042,114
37.07,54.147,0.018,0.03,-0.37,0.096,115
37.17,54.295,0.000,0.01,-0.02,0.243,115
37.27,54.425,-0.033,0.01,0.69,0.136,115
37.37,54.594,-0.023,0.05,0.36,0.044,116
37.48,54.733,0.011,0.07,-0.30,0.176,116
37.58,54.878,0.016,0.05,-0.40,0.185,116
37.68,55.055,-0.027,0.03,0.59,0.028,116
37.78,55.219,0.012,0.06,-0.30,0.156,117
37.88,55.355,0.005,0.05,-0.17,0.212,117
37.98,55.496,-0.018,0.04,0.35,0.074,117
38.09,55.660,0.019,0.06,-0.43,0.094,118
38.19,55.811,0.011,0.03,-0.25,0.244,118
38.29,55.942,-0.009,0.02,0.17,0.132,118
38.40,56.077,-0.007,0.03,0.13,0.008,118
38.50,56.226,-0.039,0.03,0.70,0.158,119
38.61,56.384,-0.034,0.08,0.60,0.197,119
38.71,56.590,0.033,0.11,-0.92,0.035,119
38.81,56.717,-0.011,0.06,0.14,0.140,120
38.91,56.839,0.027,0.06,-0.62,0.246,120
39.01,56.961,0.007,0.03,-0.19,0.122,120
39.12,57.153,-0.008,0.02,0.13,0.070,121
39.22,57.276,-0.019,0.02,0.34,0.194,121
39.33,57.440,0.023,0.04,-0.55,0.151,121
39.43,57.587,0.016,0.01,-0.38,0.016,121
39.53,57.742,-0.045,-0.01,0.87,0.160,122
39.63,57.882,-0.012,0.04,0.20,0.212,122
39.73,58.036,-0.003,0.05,0.00,0.058,122
39.83,58.185,-0.004,0.05,0.02,0.091,123
39.93,58.336,0.023,0.05,-0.53,0.243,123
40.04,58.520,0.002,0.02,-0.08,0.079,123
40.14,58.650,-0.018,0.02,0.31,0.054,124
40.25,58.811,-0.014,0.04,0.22,0.213,124
40.35,58.953,-0.017,0.05,0.29,0.152,124
40.45,59.102,-0.007,0.07,0.06,0.007,124
40.56,59.267,-0.011,0.07,0.12,0.164,125
40.66,59.380,-0.010,0.08,0.11,0.229,125
40.76,59.533,-0.037,0.08,0.71,0.085,125
40.86,59.700,0.014,0.13,-0.41,0.092,126
40.96,59.830,0.028,0.10,-0.68,0.223,126
41.07,60.025,0.004,0.06,-0.17,0.089,126
41.17,60.133,-0.012,0.05,0.20,0.022,126
41.27,60.306,0.013,0.06,-0.34,0.193,127
41.38,60.454,0.014,0.04,-0.36,0.166,127
41.49,60.639,-0.014,0.02,0.30,0.024,127
41.59,60.760,0.041,0.04,-0.81,0.146,128
41.69,60.880,0.034,-0.01,-0.67,0.246,128
41.79,61.061,0.018,-0.05,-0.34,0.066,128
41.90,61.208,0.024,-0.07,-0.36,0.087,129
42.00,61.366,-0.017,-0.09,0.47,0.242,129
42.10,61.500,0.017,-0.06,-0.27,0.131,129
42.21,61.670,0.008,-0.08,-0.04,0.041,130
42.31,61.786,0.029,-0.08,-0.44,0.159,130
42.41,61.934,-0.006,-0.11,0.28,0.200,130
42.51,62.065,0.013,-0.09,-0.16,0.071,130
42.62,62.253,-0.015,-0.10,0.41,0.119,131
42.72,62.382,-0.007,-0.08,0.24,0.247,131
42.83,62.537,0.005,-0.06,-0.02,0.103,131
42.93,62.722,0.002,-0.06,0.04,0.082,132
43.04,62.836,-0.022,-0.06,0.50,0.197,132
43.14,62.974,0.002,-0.03,-0.01,0.171,132
43.24,63.183,-0.014,-0.03,0.29,0.040,133
43.34,63.321,0.020,-0.01,-0.36,0.177,133
43.44,63.436,-0.008,-0.04,0.21,0.214,133
43.55,63.571,-0.004,-0.02,0.13,0.080,133
43.65,63.768,-0.027,-0.02,0.53,0.121,134
43.76,63.894,-0.013,0.02,0.23,0.244,134
43.86,64.031,0.009,0.03,-0.23,0.125,134
43.96,64.195,0.015,0.02,-0.29,0.042,135
44.06,64.358,-0.013,-0.00,0.25,0.203,135
44.16,64.483,0.055,0.01,-1.16,0.186,135
44.26,64.676,-0.011,-0.06,0.34,0.019,135
44.36,64.820,-0.015,-0.04,0.33,0.160,136
44.47,64.921,-0.013,-0.02,0.29,0.246,136
44.57,65.056,-0.012,0.00,0.26,0.110,136
44.68,65.235,0.018,0.02,-0.35,0.072,137
44.77,65.387,-0.007,-0.00,0.15,0.222,137
44.88,65.578,0.012,0.00,-0.27,0.093,137
44.99,65.704,-0.017,-0.01,0.40,0.037,137
45.09,65.863,-0.019,0.01,0.35,0.193,138
45.19,66.005,-0.026,0.03,0.49,0.173,138
45.29,66.177,0.000,0.06,-0.10,0.001,138
45.39,66.298,0.032,0.06,-0.67,0.126,139
45.49,66.451,0.006,0.02,-0.15,0.231,139
45.60,66.611,-0.021,0.01,0.45,0.073,139
45.70,66.754,-0.005,0.04,0.05,0.073,140
45.81,66.898,-0.022,0.04,0.37,0.217,140
45.91,67.049,-0.004,0.06,-0.01,0.138,140
46.01,67.227,-0.021,0.06,0.29,0.046,141
46.11,67.360,-0.013,0.08,0.15,0.174,141
46.21,67.476,-0.012,0.09,0.12,0.216,141
46.32,67.633,0.021,0.09,-0.59,0.062,141
46.42,67.785,0.007,0.06,-0.20,0.094,142
46.52,67.931,0.016,0.05,-0.38,0.240,142
46.63,68.099,-0.020,0.02,0.39,0.100,142
46.73,68.265,-0.026,0.05,0.40,0.073,143
46.83,68.390,-0.002,0.07,-0.06,0.193,143
46.94,68.551,0.007,0.07,-0.24,0.151,143
47.04,68.742,0.033,0.05,-0.66,0.052,144
47.14,68.872,-0.001,0.01,-0.00,0.170,144
47.24,69.013,0.038,0.01,-0.79,0.198,144
47.34,69.160,0.010,-0.03,-0.18,0.048,144
47.44,69.297,0.002,-0.04,0.02,0.090,145
47.55,69.432,-0.023,-0.04,0.52,0.226,145
47.65,69.590,-0.004,-0.01,0.09,0.122,145
47.76,69.717,0.026,-0.01,-0.58,0.026,145
47.86,69.906,0.031,-0.04,-0.54,0.197,146
47.97,70.052,0.012,-0.07,-0.15,0.166,146
48.07,70.232,0.017,-0.08,-0.29,0.023,146
48.17,70.344,0.005,-0.10,0.03,0.127,147
48.27,70.500,-0.008,-0.10,0.29,0.222,147
48.37,70.671,-0.020,-0.08,0.55,0.055,147
48.47,70.734,-0.000,-0.05,0.08,0.011,147
48.58,70.964,-0.028,-0.04,0.62,0.243,148
48.68,71.107,0.005,-0.01,-0.10,0.121,148
48.78,71.299,-0.023,-0.01,0.43,0.075,149
48.89,71.426,0.014,0.01,-0.29,0.199,149
48.99,71.599,0.015,-0.00,-0.32,0.135,149
49.10,71.675,0.002,-0.02,-0.01,0.058,149
49.20,71.806,0.008,-0.02,-0.11,0.074,150
49.31,71.979,0.001,-0.03,0.02,0.246,150
49.41,72.163,-0.004,-0.03,0.12,0.075,150
49.51,72.276,0.017,-0.02,-0.28,0.041,151
49.61,72.458,0.009,-0.04,-0.13,0.220,151
49.71,72.588,-0.007,-0.05,0.21,0.156,151
49.82,72.754,-0.036,-0.03,0.88,0.038,151
49.92,72.900,-0.048,0.02,0.89,0.164,152
50.03,73.036,0.023,0.07,-0.57,0.214,152
50.13,73.200,0.014,0.04,-0.37,0.051,152
50.23,73.364,0.017,0.02,-0.33,0.117,153
50.33,73.503,0.003,-0.00,-0.05,0.251,153
50.43,73.669,-0.012,-0.01,0.27,0.086,153
50.54,73.803,-0.000,0.01,-0.01,0.049,154
50.64,73.995,-0.008,0.01,0.15,0.242,154
50.74,74.106,0.008,0.02,-0.19,0.153,154
50.84,74.253,-0.031,0.01,0.70,0.032,154
50.94,74.402,0.040,0.05,-0.81,0.149,155
51.05,74.530,0.030,-0.00,-0.61,0.236,155
51.15,74.650,-0.041,-0.04,0.92,0.121,155
51.25,74.890,-0.003,0.02,0.03,0.126,157
51.36,75.002,-0.026,0.02,0.45,0.239,157
51.46,75.134,-0.016,0.05,0.26,0.136,157
51.56,75.335,0.018,0.06,-0.48,0.068,157
51.66,75.449,0.008,0.03,-0.23,0.180,157
51.77,75.577,-0.019,0.02,0.31,0.198,158
51.87,75.733,0.031,0.04,-0.63,0.051,158
51.97,75.891,0.017,0.00,-0.35,0.118,158
